"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-18659217.877095","-22569832.4022346","-44301675.9776536","-46703910.6145251","-158156424.581006","-209497206.703911","43798882.6815642","41731843.575419","81061452.5139665","-279329.608938545","-69106145.2513966","-195810055.865922","-18770949.7206704","-435513966.480447","207145251.396648","308759776.536313","-340251396.648045","-165553072.625698","270888268.156425","104963491.341427","310555693.72256","258268156.424581","111731.843575411","171675977.653631","-460111731.843575","-260558659.217877","90837988.8268156","-322246518.293631","-130013879.725995","118342714.096141","141178986.061164","34628879.7929171","-19374275.5327724","84796821.7557428","-316455499.952177","79257066.7080489","230555794.451357","",
"Africa Eastern and Southern","AFE","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","-99600000","53600000","-205800000","-67300000","-138800000","-450600000","-243200000","-537200000","-166900000","26200000","-143300000","","","","","","","","","","","","","","","","","","","-238376258.640059","277627586.221436","-577708206.772323","-2246921171.24519","-5150161881.41159","-5095040596.60647","-3232893168.37268","-4192816422.8282","-2708462935.14897","-3554897942.49064","-3896837603.93392","-3791935256.04003","-3136733353.20761","","","",
"Africa Western and Central","AFW","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","195000000","-303000000","447000000","-469000000","-132000000","-235500000","-579600000","-734776000","-668500000","-339800000","-295047000","3266378000","-883540000","-1867130000","-1710410000","795650000","-1430930000","-150093385.26","-719558880.5","681237662.030001","5137882651.4822","10689818935.61","10581250704.88","7194246953.019","-7571651745.69","7505954235.08","13084636207.4109","13841185161.0098","8145070111.69022","-3747517596.21103","-10272841902.6133","-3085195463.21077","-632867147.90334","7402606519.27953","5137394880.2235","871917831.29993","8399451648.83264","11762879500.689","4210061926.26581",
"Albania","ALB","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","16000000","45000000","-66800000","-38300000","-28100000","-36400000","-3200000","5200000","-27100000","-39300000","-118300000","-168000000","-50700000","14900000","-157300000","-11500000","-107300000","-272232500","-65070000","-155400000","-156300000","-217400000","-407520000","-406814698.259077","-357925427.326321","-571475353.650417","-670904254.719467","-1150813004.28052","-2013166061.36355","-1852457561.90292","-1355598479.39826","-1667175109.43641","-1256644799.54906","-1184891052.23519","-1425385680.43297","-979825099.400474","-900363040.501945","-982237928.301343","-1016226360.01795","-1218856026.94155","-1314583005.68534","-1369694859.41271","-1116775476.01529","-202323382.572036",
"Andorra","AND","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568257241.756768","448869294.442756","467435297.090415","583198637.628273","",
"Arab World","ARB","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","651000000","1126000000","1856000000","-513000000","-4774000000","-4712000000","-2353000000","-2436000000","-2495000000","-952000000","-2859000000","-4235000000","-1572000000","-1305000000","4552000000","-647000000","-5547754558.62268","-8205889940.16498","-10979452970.0946","-5117957254.29083","-6769978160.48526","-12138068595.3394","-14481998042.2511","-11942825328.0158","-8980617892.62762","-3780423241.19359","8766610000","8139930000","3211790000","5273750000","6498802520.20453","6048537892.88669","5421206328.61008","7254115683.93703","-1622995871.25068","-5340181192.3952","-2138040360.43296","-13124373785.8633","-9179026266.87552","-17621985168.21","-15104786524.5601","-31151351750.7624","-27083606451.057","-3492479581.08422","2688362005.52313","6644503789.24864","-4290120084.51508","-21493969916.195",
